sequential, 1, 1, 1, 1, 1, 0.001
pthread, 1, 1, 1, 1, 1, 0.113
pthread, 1, 1, 8, 1, 1, 0.093
pthread, 1, 1, 16, 1, 1, 0.060
pthread, 1, 1, 48, 1, 1, 0.039
openmp, 1, 1, 1, 1, 1, 0.003
cilk, 1, 1, 1, 1, 1, 0.001
cilk, 1, 1, 8, 1, 1, 0.001
cilk, 1, 1, 16, 1, 1, 0.002
cilk, 1, 1, 48, 1, 1, 0.002
sequential, 1, 1, 1, 1, 2, 0.006
pthread, 1, 1, 1, 1, 2, 0.185
pthread, 1, 1, 8, 1, 2, 0.196
pthread, 1, 1, 16, 1, 2, 0.202
pthread, 1, 1, 48, 1, 2, 0.137
openmp, 1, 1, 1, 1, 2, 0.012
cilk, 1, 1, 1, 1, 2, 0.007
cilk, 1, 1, 8, 1, 2, 0.042
cilk, 1, 1, 16, 1, 2, 0.030
cilk, 1, 1, 48, 1, 2, 0.007
sequential, 1, 1, 1, 5, 1, 0.002
pthread, 1, 1, 1, 5, 1, 0.096
pthread, 1, 1, 8, 5, 1, 0.107
pthread, 1, 1, 16, 5, 1, 0.115
pthread, 1, 1, 48, 5, 1, 0.205
openmp, 1, 1, 1, 5, 1, 0.008
cilk, 1, 1, 1, 5, 1, 0.008
cilk, 1, 1, 8, 5, 1, 1.798
cilk, 1, 1, 16, 5, 1, 0.004
cilk, 1, 1, 48, 5, 1, 2.023
sequential, 1, 1, 1, 5, 2, 0.023
pthread, 1, 1, 1, 5, 2, 0.230
pthread, 1, 1, 8, 5, 2, 0.240
pthread, 1, 1, 16, 5, 2, 0.227
pthread, 1, 1, 48, 5, 2, 0.236
openmp, 1, 1, 1, 5, 2, 0.045
cilk, 1, 1, 1, 5, 2, 0.186
cilk, 1, 1, 8, 5, 2, 0.312
cilk, 1, 1, 16, 5, 2, 0.227
cilk, 1, 1, 48, 5, 2, 1.497
sequential, 10, 10, 1, 1, 1, 0.015
pthread, 10, 10, 1, 1, 1, 0.206
pthread, 10, 10, 8, 1, 1, 0.725
pthread, 10, 10, 16, 1, 1, 0.874
pthread, 10, 10, 48, 1, 1, 0.698
openmp, 10, 10, 1, 1, 1, 14.795
cilk, 10, 10, 1, 1, 1, 0.067
cilk, 10, 10, 8, 1, 1, 0.339
cilk, 10, 10, 16, 1, 1, 0.447
cilk, 10, 10, 48, 1, 1, 2.110
sequential, 10, 10, 1, 1, 2, 0.383
pthread, 10, 10, 1, 1, 2, 0.905
pthread, 10, 10, 8, 1, 2, 0.899
pthread, 10, 10, 16, 1, 2, 1.038
pthread, 10, 10, 48, 1, 2, 1.091
openmp, 10, 10, 1, 1, 2, 29.249
cilk, 10, 10, 1, 1, 2, 1.260
cilk, 10, 10, 8, 1, 2, 1.289
cilk, 10, 10, 16, 1, 2, 2.607
cilk, 10, 10, 48, 1, 2, 0.512
sequential, 10, 10, 1, 5, 1, 0.075
pthread, 10, 10, 1, 5, 1, 0.238
pthread, 10, 10, 8, 5, 1, 0.766
pthread, 10, 10, 16, 5, 1, 0.871
pthread, 10, 10, 48, 5, 1, 0.887
openmp, 10, 10, 1, 5, 1, 57.743
cilk, 10, 10, 1, 5, 1, 3.392
cilk, 10, 10, 8, 5, 1, 0.671
cilk, 10, 10, 16, 5, 1, 12.059
cilk, 10, 10, 48, 5, 1, 0.629
sequential, 10, 10, 1, 5, 2, 2.013
pthread, 10, 10, 1, 5, 2, 2.988
pthread, 10, 10, 8, 5, 2, 1.768
pthread, 10, 10, 16, 5, 2, 1.918
pthread, 10, 10, 48, 5, 2, 1.926
openmp, 10, 10, 1, 5, 2, 73.018
cilk, 10, 10, 1, 5, 2, 10.748
cilk, 10, 10, 8, 5, 2, 2.368
cilk, 10, 10, 16, 5, 2, 3.799
cilk, 10, 10, 48, 5, 2, 1.920
sequential, 100, 100, 1, 1, 1, 1.505
pthread, 100, 100, 1, 1, 1, 3.071
pthread, 100, 100, 8, 1, 1, 1.510
pthread, 100, 100, 16, 1, 1, 2.547
pthread, 100, 100, 48, 1, 1, 4.892
openmp, 100, 100, 1, 1, 1, 84.787
cilk, 100, 100, 1, 1, 1, 1.489
cilk, 100, 100, 8, 1, 1, 1.453
cilk, 100, 100, 16, 1, 1, 11.249
cilk, 100, 100, 48, 1, 1, 3.181
sequential, 100, 100, 1, 1, 2, 37.963
pthread, 100, 100, 1, 1, 2, 44.459
pthread, 100, 100, 8, 1, 2, 21.135
pthread, 100, 100, 16, 1, 2, 18.791
pthread, 100, 100, 48, 1, 2, 22.465
openmp, 100, 100, 1, 1, 2, 118.896
cilk, 100, 100, 1, 1, 2, 43.216
cilk, 100, 100, 8, 1, 2, 31.575
cilk, 100, 100, 16, 1, 2, 18.782
cilk, 100, 100, 48, 1, 2, 9.317
sequential, 100, 100, 1, 5, 1, 7.175
pthread, 100, 100, 1, 5, 1, 12.590
pthread, 100, 100, 8, 5, 1, 3.574
pthread, 100, 100, 16, 5, 1, 4.533
pthread, 100, 100, 48, 5, 1, 8.322
openmp, 100, 100, 1, 5, 1, 171.221
cilk, 100, 100, 1, 5, 1, 7.596
cilk, 100, 100, 8, 5, 1, 9.806
cilk, 100, 100, 16, 5, 1, 11.350
cilk, 100, 100, 48, 5, 1, 12.142
sequential, 100, 100, 1, 5, 2, 192.176
pthread, 100, 100, 1, 5, 2, 196.820
pthread, 100, 100, 8, 5, 2, 56.334
pthread, 100, 100, 16, 5, 2, 93.299
pthread, 100, 100, 48, 5, 2, 55.453
openmp, 100, 100, 1, 5, 2, 446.876
cilk, 100, 100, 1, 5, 2, 340.326
cilk, 100, 100, 8, 5, 2, 142.323
cilk, 100, 100, 16, 5, 2, 101.772
cilk, 100, 100, 48, 5, 2, 44.279
sequential, 500, 500, 1, 1, 1, 35.187
pthread, 500, 500, 1, 1, 1, 41.410
pthread, 500, 500, 8, 1, 1, 23.837
pthread, 500, 500, 16, 1, 1, 32.216
pthread, 500, 500, 48, 1, 1, 32.343
openmp, 500, 500, 1, 1, 1, 198.615
cilk, 500, 500, 1, 1, 1, 58.695
cilk, 500, 500, 8, 1, 1, 79.859
cilk, 500, 500, 16, 1, 1, 128.272
cilk, 500, 500, 48, 1, 1, 54.383
sequential, 500, 500, 1, 1, 2, 958.372
pthread, 500, 500, 1, 1, 2, 965.364
pthread, 500, 500, 8, 1, 2, 345.858
pthread, 500, 500, 16, 1, 2, 399.465
pthread, 500, 500, 48, 1, 2, 484.075
openmp, 500, 500, 1, 1, 2, 489.829
cilk, 500, 500, 1, 1, 2, 2049.843
cilk, 500, 500, 8, 1, 2, 776.357
cilk, 500, 500, 16, 1, 2, 649.742
cilk, 500, 500, 48, 1, 2, 277.607
sequential, 500, 500, 1, 5, 1, 177.845
pthread, 500, 500, 1, 5, 1, 194.148
pthread, 500, 500, 8, 5, 1, 46.498
pthread, 500, 500, 16, 5, 1, 44.802
pthread, 500, 500, 48, 5, 1, 44.123
openmp, 500, 500, 1, 5, 1, 648.082
cilk, 500, 500, 1, 5, 1, 298.265
cilk, 500, 500, 8, 5, 1, 154.769
cilk, 500, 500, 16, 5, 1, 73.428
cilk, 500, 500, 48, 5, 1, 54.009
sequential, 500, 500, 1, 5, 2, 4812.067
pthread, 500, 500, 1, 5, 2, 4836.179
pthread, 500, 500, 8, 5, 2, 1996.197
pthread, 500, 500, 16, 5, 2, 2238.521
pthread, 500, 500, 48, 5, 2, 897.409
openmp, 500, 500, 1, 5, 2, 1081.304
cilk, 500, 500, 1, 5, 2, 8151.938
cilk, 500, 500, 8, 5, 2, 2204.265
cilk, 500, 500, 16, 5, 2, 1507.903
cilk, 500, 500, 48, 5, 2, 1127.572
sequential, 1, 500, 1, 1, 1, 0.135
pthread, 1, 500, 1, 1, 1, 0.313
pthread, 1, 500, 8, 1, 1, 0.578
pthread, 1, 500, 16, 1, 1, 1.182
pthread, 1, 500, 48, 1, 1, 4.152
openmp, 1, 500, 1, 1, 1, 138.178
cilk, 1, 500, 1, 1, 1, 3.609
cilk, 1, 500, 8, 1, 1, 2.154
cilk, 1, 500, 16, 1, 1, 3.556
cilk, 1, 500, 48, 1, 1, 1.952
sequential, 1, 500, 1, 1, 2, 2.044
pthread, 1, 500, 1, 1, 2, 2.866
pthread, 1, 500, 8, 1, 2, 2.318
pthread, 1, 500, 16, 1, 2, 3.707
pthread, 1, 500, 48, 1, 2, 8.788
openmp, 1, 500, 1, 1, 2, 169.218
cilk, 1, 500, 1, 1, 2, 3.909
cilk, 1, 500, 8, 1, 2, 7.380
cilk, 1, 500, 16, 1, 2, 2.461
cilk, 1, 500, 48, 1, 2, 12.799
sequential, 1, 500, 1, 5, 1, 0.524
pthread, 1, 500, 1, 5, 1, 0.637
pthread, 1, 500, 8, 5, 1, 2.059
pthread, 1, 500, 16, 5, 1, 2.722
pthread, 1, 500, 48, 5, 1, 8.295
openmp, 1, 500, 1, 5, 1, 485.902
cilk, 1, 500, 1, 5, 1, 4.879
cilk, 1, 500, 8, 5, 1, 0.879
cilk, 1, 500, 16, 5, 1, 7.469
cilk, 1, 500, 48, 5, 1, 1.329
sequential, 1, 500, 1, 5, 2, 9.786
pthread, 1, 500, 1, 5, 2, 10.132
pthread, 1, 500, 8, 5, 2, 11.051
pthread, 1, 500, 16, 5, 2, 9.461
pthread, 1, 500, 48, 5, 2, 9.887
openmp, 1, 500, 1, 5, 2, 472.445
cilk, 1, 500, 1, 5, 2, 10.332
cilk, 1, 500, 8, 5, 2, 8.165
cilk, 1, 500, 16, 5, 2, 12.802
cilk, 1, 500, 48, 5, 2, 17.732
sequential, 500, 1, 1, 1, 1, 0.062
pthread, 500, 1, 1, 1, 1, 0.236
pthread, 500, 1, 8, 1, 1, 0.176
pthread, 500, 1, 16, 1, 1, 0.114
pthread, 500, 1, 48, 1, 1, 0.166
openmp, 500, 1, 1, 1, 1, 0.085
cilk, 500, 1, 1, 1, 1, 0.151
cilk, 500, 1, 8, 1, 1, 0.563
cilk, 500, 1, 16, 1, 1, 0.105
cilk, 500, 1, 48, 1, 1, 0.737
sequential, 500, 1, 1, 1, 2, 1.975
pthread, 500, 1, 1, 1, 2, 2.123
pthread, 500, 1, 8, 1, 2, 2.098
pthread, 500, 1, 16, 1, 2, 2.785
pthread, 500, 1, 48, 1, 2, 2.072
openmp, 500, 1, 1, 1, 2, 2.084
cilk, 500, 1, 1, 1, 2, 33.722
cilk, 500, 1, 8, 1, 2, 14.594
cilk, 500, 1, 16, 1, 2, 21.634
cilk, 500, 1, 48, 1, 2, 2.001
sequential, 500, 1, 1, 5, 1, 0.358
pthread, 500, 1, 1, 5, 1, 0.616
pthread, 500, 1, 8, 5, 1, 0.750
pthread, 500, 1, 16, 5, 1, 0.606
pthread, 500, 1, 48, 5, 1, 0.722
openmp, 500, 1, 1, 5, 1, 0.439
cilk, 500, 1, 1, 5, 1, 0.438
cilk, 500, 1, 8, 5, 1, 0.677
cilk, 500, 1, 16, 5, 1, 3.333
cilk, 500, 1, 48, 5, 1, 1.469
sequential, 500, 1, 1, 5, 2, 10.422
pthread, 500, 1, 1, 5, 2, 12.578
pthread, 500, 1, 8, 5, 2, 11.071
pthread, 500, 1, 16, 5, 2, 13.419
pthread, 500, 1, 48, 5, 2, 11.853
openmp, 500, 1, 1, 5, 2, 9.605
cilk, 500, 1, 1, 5, 2, 93.854
cilk, 500, 1, 8, 5, 2, 31.497
cilk, 500, 1, 16, 5, 2, 9.612
cilk, 500, 1, 48, 5, 2, 39.809
sequential, 2, 3, 1, 1, 1, 0.002
pthread, 2, 3, 1, 1, 1, 0.042
pthread, 2, 3, 8, 1, 1, 0.117
pthread, 2, 3, 16, 1, 1, 0.112
pthread, 2, 3, 48, 1, 1, 0.118
openmp, 2, 3, 1, 1, 1, 1.612
cilk, 2, 3, 1, 1, 1, 0.003
cilk, 2, 3, 8, 1, 1, 0.006
cilk, 2, 3, 16, 1, 1, 0.007
cilk, 2, 3, 48, 1, 1, 0.007
sequential, 2, 3, 1, 1, 2, 0.025
pthread, 2, 3, 1, 1, 2, 0.061
pthread, 2, 3, 8, 1, 2, 0.123
pthread, 2, 3, 16, 1, 2, 0.111
pthread, 2, 3, 48, 1, 2, 0.125
openmp, 2, 3, 1, 1, 2, 9.706
cilk, 2, 3, 1, 1, 2, 0.025
cilk, 2, 3, 8, 1, 2, 0.068
cilk, 2, 3, 16, 1, 2, 0.028
cilk, 2, 3, 48, 1, 2, 0.029
sequential, 2, 3, 1, 5, 1, 0.006
pthread, 2, 3, 1, 5, 1, 0.071
