,type,row_count,column_count,thread_count,iteration_count,func,time,max_time,min_time
140,mpi,500,500,8,1,2.0,101.41,131.66454308,97.0106492316
141,mpi,500,500,16,1,2.0,54.157,70.3141372604,51.8075705595
142,mpi,500,500,34,1,2.0,60.768,78.8974554174,58.1317733212
143,mpi,500,500,1,5,1.0,147.767,191.851637287,141.356598018
144,mpi,500,500,8,5,1.0,20.571,26.7081285445,19.6785924992
145,mpi,500,500,16,5,1.0,12.419,16.1240702151,11.8802411282
146,mpi,500,500,34,5,1.0,14.226,18.4701685224,13.6088501723
147,mpi,1,1,1,1,2.0,1.649,2.14096076855,1.57746337228
148,mpi,500,500,1,5,2.0,3831.843,4975.03064539,3665.61066151
149,mpi,500,500,8,5,2.0,506.123,657.119155283,484.166461109
150,mpi,500,500,16,5,2.0,269.031,349.293399954,257.359944517
151,mpi,500,500,34,5,2.0,293.022,380.441847376,280.310171178
152,mpi,1,500,1,1,0.064,,,
153,mpi,1,500,1,1,1.0,1.443,1.87350296484,1.38040002802
154,mpi,1,500,1,1,1.0,1.955,2.53825245756,1.87018853415
155,mpi,1,500,1,1,1.0,5.1,6.62152815016,4.87875269777
156,mpi,1,500,1,1,2.0,1.59,2.06435877623,1.52102289989
157,mpi,1,500,1,1,2.0,2.424,3.1471733796,2.31884245871
158,mpi,1,1,1,1,2.0,2.246,2.91606906377,2.14856442337
159,mpi,1,500,1,2,3.661,,,
160,mpi,1,500,1,1,2.0,6.224,8.0808610209,5.95399152763
161,mpi,1,500,1,5,1.0,0.352,0.457015276246,0.336729597964
162,mpi,1,500,1,5,1.0,1.855,2.40841857226,1.77452671654
163,mpi,1,500,1,5,1.0,1.948,2.52916408559,1.86349220691
164,mpi,1,500,1,5,1.0,5.414,7.02920654999,5.17913080505
165,mpi,1,500,1,5,2.0,7.742,10.0517393997,7.40613791885
166,mpi,1,500,1,5,2.0,8.911,11.5694975188,8.52442456664
167,mpi,1,500,1,5,2.0,9.32,12.1005181097,8.91568140063
168,mpi,1,500,1,5,2.0,11.613,15.0776090996,11.1092068783
169,mpi,1,1,1,1,2.0,4.895,6.3553686853,4.68264597169
170,mpi,500,1,1,1,1.0,0.196,0.254474415182,0.187497162503
171,mpi,500,1,8,1,1.0,1.063,1.38013420071,1.01688512112
172,mpi,500,1,16,1,1.0,1.36,1.76574084004,1.30100071941
173,mpi,500,1,34,1,1.0,3.874,5.02976471641,3.70593881395
174,mpi,500,1,1,1,2.0,1.701,2.20847438891,1.62720751743
175,mpi,500,1,8,1,2.0,0.949,1.23212357147,0.907830649056
176,mpi,500,1,16,1,2.0,1.39,1.80469100563,1.32969926469
177,mpi,500,1,34,1,2.0,3.422,4.44291555487,3.27354739839
178,mpi,500,1,1,5,1.0,0.49,0.636186037956,0.468742906257
179,mpi,500,1,8,5,1.0,1.524,1.97866841193,1.45788610028
180,mpi,1,1,1,5,1.0,0.002,0.00259667770594,0.00191323635207
181,mpi,500,1,16,5,1.0,1.99,2.58369431741,1.90367017031
182,mpi,500,1,34,5,1.0,3.811,4.94796936868,3.64567186886
183,mpi,500,1,1,5,2.0,7.879,10.2296118226,7.53719460897
184,mpi,500,1,8,5,2.0,2.542,3.30037736425,2.43172340348
185,mpi,500,1,16,5,2.0,2.508,3.25623384325,2.39919838549
186,mpi,500,1,34,5,2.0,4.001,5.19465375074,3.82742932231
187,mpi,3,2,1,1,1.0,0.002,0.00259667770594,0.00191323635207
188,mpi,3,2,2,1,1.0,0.503,0.653064443045,0.481178942545
189,mpi,3,2,2,1,1.0,0.482,0.625799327132,0.461089960848
190,mpi,3,2,2,1,1.0,4.091,5.31150424751,3.91352495815
191,mpi,1,1,1,5,1.0,1.647,2.13836409084,1.57555013593
192,mpi,1000,1000,1,1,1.0,120.855,156.910742076,115.612089665
193,mpi,1,10000,1,1,1.0,2.948,3.82750293856,2.82011038295
194,mpi,1,10000,8,1,1.0,8.856,11.4980888819,8.47181056696
195,mpi,1,10000,16,1,1.0,22.94,29.7838932872,21.9448209582
196,mpi,1,10000,34,1,1.0,68.495,88.9297197343,65.5235619674
197,mpi,1,10000,1,1,2.0,32.314,41.9545216949,30.9121597404
198,mpi,1,10000,8,1,2.0,28.387,36.8559450193,27.1555201631
199,mpi,1,10000,16,1,2.0,24.339,31.6002693425,23.2831297865
200,mpi,1,10000,34,1,2.0,71.208,92.4521130424,68.118867079
201,mpi,1,10000,1,5,1.0,8.991,11.6733646271,8.60095402072
202,mpi,1,10000,8,5,1.0,35.271,45.7937096832,33.7408796869
203,mpi,1,10000,16,5,1.0,44.676,58.0045865954,42.7378736325
204,mpi,1,10000,34,5,1.0,89.914,116.738839626,86.0133666799
205,mpi,1,10000,1,5,2.0,161.514,209.699901499,154.507228084
206,mpi,1,10000,8,5,2.0,47.178,61.2530304055,45.1313323089
207,mpi,1,10000,16,5,2.0,54.155,70.3115405827,51.8056573231
208,mpi,1,10000,34,5,2.0,71.1,92.3118924463,68.015552316
209,mpi,10000,1,1,1,1.0,1.209,1.56969167324,1.15655137482
210,mpi,10000,1,1,1,1.0,22.349,29.0165750251,21.3794596162
211,mpi,10000,1,1,1,1.0,47.313,61.4283061507,45.2604757627
212,mpi,10000,1,1,1,1.0,121.297,157.484607849,116.034914898
213,mpi,10000,1,1,1,2.0,31.763,41.2391369869,30.3850631254
214,mpi,10000,1,1,1,2.0,62.569,81.2357636916,59.8546426563
215,mpi,10000,1,1,1,2.0,65.556,85.1139018454,62.7120611481
216,mpi,10000,1,1,1,2.0,156.136,202.717435148,149.362535533
