sequential, 100000, 1, 1, 1, 1, 14.112
pthread, 100000, 1, 1, 1, 1, 21.143
pthread, 100000, 1, 8, 1, 1, 19.127
pthread, 100000, 1, 16, 1, 1, 17.787
pthread, 100000, 1, 48, 1, 1, 19.749
openmp, 100000, 1, 1, 1, 1, 14.944
cilk, 100000, 1, 1, 1, 1, 21.013
cilk, 100000, 1, 8, 1, 1, 17.659
cilk, 100000, 1, 16, 1, 1, 21.689
cilk, 100000, 1, 48, 1, 1, 23.369
sequential, 100000, 1, 1, 1, 2, 383.845
pthread, 100000, 1, 1, 1, 2, 386.528
pthread, 100000, 1, 8, 1, 2, 384.267
pthread, 100000, 1, 16, 1, 2, 387.210
pthread, 100000, 1, 48, 1, 2, 387.394
openmp, 100000, 1, 1, 1, 2, 383.559
cilk, 100000, 1, 1, 1, 2, 542.874
cilk, 100000, 1, 8, 1, 2, 1152.386
cilk, 100000, 1, 16, 1, 2, 789.246
cilk, 100000, 1, 48, 1, 2, 628.165
sequential, 100000, 1, 1, 5, 1, 68.027
pthread, 100000, 1, 1, 5, 1, 76.431
pthread, 100000, 1, 8, 5, 1, 71.372
pthread, 100000, 1, 16, 5, 1, 71.673
pthread, 100000, 1, 48, 5, 1, 72.822
openmp, 100000, 1, 1, 5, 1, 70.748
cilk, 100000, 1, 1, 5, 1, 88.044
cilk, 100000, 1, 8, 5, 1, 119.082
cilk, 100000, 1, 16, 5, 1, 79.448
cilk, 100000, 1, 48, 5, 1, 94.953
sequential, 100000, 1, 1, 5, 2, 1911.131
pthread, 100000, 1, 1, 5, 2, 1920.504
pthread, 100000, 1, 8, 5, 2, 1921.260
pthread, 100000, 1, 16, 5, 2, 1915.006
pthread, 100000, 1, 48, 5, 2, 1922.022
openmp, 100000, 1, 1, 5, 2, 1917.141
cilk, 100000, 1, 1, 5, 2, 3606.250
cilk, 100000, 1, 8, 5, 2, 3058.504
cilk, 100000, 1, 16, 5, 2, 3323.703
cilk, 100000, 1, 48, 5, 2, 2410.642
sequential, 1, 100000, 1, 1, 1, 21.069
pthread, 1, 100000, 1, 1, 1, 26.532
pthread, 1, 100000, 8, 1, 1, 12.505
pthread, 1, 100000, 16, 1, 1, 14.092
pthread, 1, 100000, 48, 1, 1, 15.808
openmp, 1, 100000, 1, 1, 1, 85.321
cilk, 1, 100000, 1, 1, 1, 25.048
cilk, 1, 100000, 8, 1, 1, 22.776
cilk, 1, 100000, 16, 1, 1, 33.430
cilk, 1, 100000, 48, 1, 1, 25.969
sequential, 1, 100000, 1, 1, 2, 390.111
pthread, 1, 100000, 1, 1, 2, 397.204
pthread, 1, 100000, 8, 1, 2, 84.230
pthread, 1, 100000, 16, 1, 2, 85.456
pthread, 1, 100000, 48, 1, 2, 86.009
openmp, 1, 100000, 1, 1, 2, 183.623
cilk, 1, 100000, 1, 1, 2, 602.631
cilk, 1, 100000, 8, 1, 2, 345.901
cilk, 1, 100000, 16, 1, 2, 193.592
cilk, 1, 100000, 48, 1, 2, 106.476
sequential, 1, 100000, 1, 5, 1, 105.922
pthread, 1, 100000, 1, 5, 1, 117.274
pthread, 1, 100000, 8, 5, 1, 36.712
pthread, 1, 100000, 16, 5, 1, 30.455
pthread, 1, 100000, 48, 5, 1, 34.214
openmp, 1, 100000, 1, 5, 1, 275.738
cilk, 1, 100000, 1, 5, 1, 133.399
cilk, 1, 100000, 8, 5, 1, 71.506
cilk, 1, 100000, 16, 5, 1, 42.771
cilk, 1, 100000, 48, 5, 1, 26.623
sequential, 1, 100000, 1, 5, 2, 1948.739
pthread, 1, 100000, 1, 5, 2, 1959.725
pthread, 1, 100000, 8, 5, 2, 424.649
pthread, 1, 100000, 16, 5, 2, 434.091
pthread, 1, 100000, 48, 5, 2, 261.570
openmp, 1, 100000, 1, 5, 2, 669.935
cilk, 1, 100000, 1, 5, 2, 3003.923
cilk, 1, 100000, 8, 5, 2, 1108.359
cilk, 1, 100000, 16, 5, 2, 631.191
cilk, 1, 100000, 48, 5, 2, 311.658
